ID,projects,commit url,UTC of buggy commit,UTC of fix commit,start line,end line,defect method,change lines,resource types,root causes,fix approach,patch error?,standard libraries,third-party libraries,is interprocedural,key variable name,key variable location,key variable attribute
11,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/3137c6f6a0f258c3b893f8c9f7f9242cde296132,2022-06-03T23:48:36Z,2022-06-06T21:43:03Z,974,997,core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:gatherDescendants,"core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:@@ -976,23 +977,26 @@ ",file,noCloseEPath,try-with,no,,CloseableIterator<? extends Inode>,no,mInodeStore.getChildren(inode.asDirectory()),core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:979,anonymous variable
12,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/a02b5af1a48ab309e9e1bd24721070c0e6942ccb,2018-02-16T18:04:41Z,2018-03-06T04:40:58Z,218,240,checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java:main,"checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java:@@ -221,21 +193,16 @@ ",file,noCloseEPath,try-with,no,java.io.PrintWriter,,no,reportWriter,checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java:226,local variable
13,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/90b7e8b6f1a6df7d7002333f7dea2444ed79ab51,2014-08-28T02:07:34Z,2014-08-28T02:07:34Z,37,40,core/src/main/java/tachyon/command/TFsShell.java:main,"core/src/main/java/tachyon/command/TFsShell.java:@@ -1,5 +1,6 @@",socket,noCloseRPath,CloseInFinally,no,,tachyon.command.TFsShell,no,shell,core/src/main/java/tachyon/command/TFsShell.java:38,local variable
14,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/f5ca85ffe659f1ed802239f45e7f2be2fbfed6ea,2014-08-21T21:14:36Z,2014-08-28T02:07:34Z,49,75,core/src/main/java/tachyon/command/TFsShell.java:cat,"core/src/main/java/tachyon/command/TFsShell.java:@@ -53,24 +54,32 @@",socket,noCloseRPath,CloseInFinally,no,,tachyon.client.TachyonFS,no,tachyonClient,core/src/main/java/tachyon/command/TFsShell.java:55,local variable
15,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/d3f44dd576da2e77fdb7bf8a8c015c70cda17e74,2022-08-25T17:37:02Z,2022-10-19T02:04:15Z,146,150,core/common/src/main/java/alluxio/resource/CloseableIterator.java:size,"core/common/src/main/java/alluxio/resource/CloseableIterator.java@@ -144,8 +144,11 @@",file,noCloseEPath,CloseInFinally,no,,alluxio.resource.CloseableIterator,yes,iter,core/common/src/main/java/alluxio/resource/CloseableIterator.java:146,parameter
16,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/a71b0dd5483d9918bc352aef8f196bd561e36e8e,2021-10-02T06:46:52Z,2021-11-01T20:41:15Z,960,976,core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:gatherDescendants,"core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java@@ -970,7 +970,14 @@",thread,noCloseRPath,CloseOnExcep,no,,alluxio.master.file.meta.LockedInodePath,no,childPath,core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:968,local variable
17,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/a71b0dd5483d9918bc352aef8f196bd561e36e8e,2020-06-12T18:46:58Z,2021-11-01T20:41:15Z,197,202,core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java:addLock,"core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java@@ -198,7 +198,14 @@",thread,noCloseRPath,CloseOnExcep,no,,alluxio.resource.RWLockResource,yes,lock,core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java:197,parameter
18,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/fef2d38f6f27ee9fb02f035c383ef9db74f7fcc8,2020-12-18T20:49:47Z,2021-08-11T19:33:11Z,136,148,core/server/common/src/main/java/alluxio/master/AbstractMaster.java:createJournalContext,"core/server/common/src/main/java/alluxio/master/AbstractMaster.java@@ -144,7 +144,12 @@",thread,noCloseRPath,CloseOnExcep,no,,alluxio.resource.LockResource,no,sharedLockResource,core/server/common/src/main/java/alluxio/master/AbstractMaster.java:141,local variable
19,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/e1f931fcbcc540c233c2c98d67228eaa0d22c727,2020-11-11T01:00:44Z,2021-06-28T17:15:43Z,57,74,core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java:parse,"core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java@@ -67,8 +67,11 @@",file,noCloseRPath,CloseOnExcep,no,,io.grpc.internal.ReadableBuffer,no,rawBuffer,core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java:58,local variable
20,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/8511921bf6511d6a1249c0aa0d1c60f2784d15c9,2019-11-26T06:52:39Z,2020-02-21T20:29:09Z,88,104,core/server/common/src/main/java/alluxio/master/MasterProcess.java:configureAddress,"core/server/common/src/main/java/alluxio/master/MasterProcess.java@@ -93,11 +93,9 @@",socket,noCloseEPath,try-with,no,java.net.ServerSocket,,no,s,core/server/common/src/main/java/alluxio/master/MasterProcess.java:97,local variable
21,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/7dca7ae603058268ef629fda2c4ff8cad2ae82d9,2020-02-06T19:19:52Z,2020-02-18T23:28:21Z,175,212,job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java:runTask,"job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java@@ -174,38 +172,35 @@",file,noCloseRPath,try-with,no,,alluxio.job.plan.transform.format.TableReader,no,TableReader.create(new AlluxioURI(input),job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java:190,anonymous variable
22,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/77038ab8d8b7f0fc50be29f1a27eeb748c66aa80,2018-06-27T06:23:17Z,2018-07-21T15:53:34Z,234,285,core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java:backup,"core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java@@ -256,20 +256,15 @@",file,noCloseRPath,try-with,no,java.io.OutputStream,,no,ufsStream,core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java:259,local variable
23,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/1d1383c034860937961f9b8e9d377bb8121cf338,2012-12-21T17:43:46Z,2017-05-26T22:19:53Z,149,162,core/client/fs/src/main/java/alluxio/client/block/stream/LocalFilePacketReader.java:close,"core/client/fs/src/main/java/alluxio/client/block/stream/LocalFilePacketReader.java@@ -155,6 +156,9 @@",socket,noCloseRPath,CloseOnExcep,no,,io.netty.channel.Channel,no,mChannel,core/client/fs/src/main/java/alluxio/client/block/stream/LocalFilePacketReader.java:122,instance variable
24,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/eef154ce8333840ba0a86f8b4e1ca0415cc3d320,2012-12-21T17:43:46Z,2017-05-04T20:16:07Z,160,177,core/client/src/main/java/alluxio/client/file/FileInStream.java:close,"core/client/src/main/java/alluxio/client/file/FileInStream.java@@ -166,13 +166,18 @@",file,noCloseEPath,CloseInFinally,no,,alluxio.client.block.stream.BlockInStream,no,mCurrentBlockInStream,core/client/src/main/java/alluxio/client/file/FileInStream.java:611,instance variable
25,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/00e12740a6ad24e48c9f2bde70b8d49c0a7f7acb,2017-03-20T23:00:01Z,2017-03-21T20:28:15Z,99,179,core/server/common/src/main/java/alluxio/master/AbstractMaster.java:start,"core/server/common/src/main/java/alluxio/master/AbstractMaster.java@@ -161,11 +161,11 @@",file,noCloseEPath,try-with,no,,alluxio.master.journal.JournalOutputStream,no,checkpointStream,core/server/common/src/main/java/alluxio/master/AbstractMaster.java:164,local variable
26,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/00e12740a6ad24e48c9f2bde70b8d49c0a7f7acb,2017-03-10T00:42:30Z,2017-03-21T20:28:15Z,75,89,core/server/common/src/main/java/alluxio/master/journal/ufs/UfsJournalTailer.java:processJournalCheckpoint,"core/server/common/src/main/java/alluxio/master/journal/ufs/UfsJournalTailer.java@@ -77,15 +77,14 @@",file,noCloseEPath,try-with,no,,alluxio.master.journal.JournalOutputStream,no,is,core/server/common/src/main/java/alluxio/master/journal/ufs/UfsJournalTailer.java:80,local variable
27,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/fa67b0180484c797764395a152549ecb9ddbd697,2022-11-04T22:51:31Z,2022-11-07T08:37:01Z,229,250,core/client/fs/src/main/java/alluxio/client/file/AlluxioFileInStream.java:refreshMetadataOnMismatchedLength,"core/client/fs/src/main/java/alluxio/client/file/AlluxioFileInStream.java@@ -227,7 +227,8 @@ @@ -237,7 +238,7 @@",socket,noCloseRPath,try-with,no,,alluxio.client.file.FileSystemMasterClient,no,mContext.acquireMasterClientResource(),core/client/fs/src/main/java/alluxio/client/file/AlluxioFileInStream.java:240,anonymous variable
28,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/8d63f35ec5f9cbd5514f7ca7f6885aed2d2d0390,2016-09-23T22:52:55Z,2016-10-17T14:40:00Z,110,167,core/client/src/main/java/alluxio/client/file/FileOutStream.java:FileOutStream,"core/client/src/main/java/alluxio/client/file/FileOutStream.java@@ -135,12 +135,15 @@",socket,noCloseCPath,CloseOnExcep,no,,alluxio.client.file.FileSystemWorkerClient,no,mFileSystemWorkerClient,core/client/src/main/java/alluxio/client/file/FileOutStream.java:132,instance variable
29,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/b85af61b4e54ddc408314385a400d369b53e039c,2015-10-28T17:26:39Z,2015-10-29T17:32:09Z,284,288,common/src/main/java/tachyon/util/io/BufferUtils.java:writeBufferToFile,"common/src/main/java/tachyon/util/io/BufferUtils.java@@ -283,8 +283,11 @@",file,noCloseEPath,CloseInFinally,no,java.io.FileOutputStream,,no,os,common/src/main/java/tachyon/util/io/BufferUtils.java:285,local variable
30,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/b85af61b4e54ddc408314385a400d369b53e039c,2015-09-02T22:57:50Z,2015-10-29T17:32:09Z,91,117,servers/src/main/java/tachyon/web/WebInterfaceDownloadLocalServlet.java:downloadLogFile,"servers/src/main/java/tachyon/web/WebInterfaceDownloadLocalServlet.java@@ -101,18 +100,20 @@",file,noCloseEPath,CloseInFinally,no,,javax.servlet.ServletOutputStream,no,out,servers/src/main/java/tachyon/web/WebInterfaceDownloadLocalServlet.java:106,local variable
31,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/a652de847d3335a631fdbd5136c649dceaadc3bd,2015-09-30T22:37:27Z,2015-10-14T17:44:04Z,85,103,clients/unshaded/src/main/java/tachyon/client/block/RemoteBlockInStream.java:readFromRemote,"clients/unshaded/src/main/java/tachyon/client/block/RemoteBlockInStream.java@@ -91,12 +91,15 @@",file,noCloseEPath,CloseInFinally,no,java.nio.ByteBuffer,,no,reader,clients/unshaded/src/main/java/tachyon/client/block/RemoteBlockInStream.java:92,local variable
32,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/4751e3fb615f9fc74dd8b6e3fe093b33b0d3e35b,2014-10-19T05:20:08Z,2014-10-29T17:05:40Z,31,36,core/src/main/java/tachyon/UnderFileSystemSingleLocal.java:create,"core/src/main/java/tachyon/UnderFileSystemSingleLocal.java@@ -30,7 +30,12 @@",file,noCloseRPath,CloseOnExcep,no,java.io.FileOutputStream,,no,stream,core/src/main/java/tachyon/UnderFileSystemSingleLocal.java:32,local variable
33,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/ec757c4c34fe147601c89508d2cebf790e7cf2f9,2014-10-19T05:20:08Z,2014-10-21T23:23:48Z,36,63,core/src/main/java/tachyon/master/RecomputeCommand.java:run,"core/src/main/java/tachyon/master/RecomputeCommand.java@@ -38,21 +40,26 @@",file,noCloseEPath,CloseInFinally,no,"java.io.BufferedReader,java.io.InputStreamReader,java.io.BufferedWriter,java.io.FileWriter",,no,"bri,bre,bw","core/src/main/java/tachyon/master/RecomputeCommand.java:41,42,45",local variable
34,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/dbf3ea6bc2ef68b145368cd5d019da7fc79ccc7a,2014-08-07T13:30:42Z,2014-08-17T07:27:13Z,45,69,core/src/main/java/tachyon/master/Image.java:create,"core/src/main/java/tachyon/master/Image.java@@ -47,25 +47,32 @@",file,noCloseEPath,CloseInFinally,no,java.io.DataOutputStream,tachyon.UnderFileSystem,no,"ufs,imageOs","core/src/main/java/tachyon/master/Image.java:49,55",local variable
35,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/dbf3ea6bc2ef68b145368cd5d019da7fc79ccc7a,2014-08-07T13:30:42Z,2014-08-17T07:27:13Z,80,93,core/src/main/java/tachyon/master/Image.java:load,"core/src/main/java/tachyon/master/Image.java@@ -79,17 +86,22 @@",file,noCloseEPath,CloseInFinally,no,java.io.DataInputStream,tachyon.UnderFileSystem,no,"ufs,imageIs","core/src/main/java/tachyon/master/Image.java:81,87",local variable
36,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/a40b1ce65fb8dd2f44fb2d041477e3629ae3d279,2014-08-15T22:58:43Z,2014-08-17T04:01:32Z,472,508,core/src/main/java/tachyon/client/TachyonFile.java:retrieveByteBufferFromRemoteMachine,"core/src/main/java/tachyon/client/TachyonFile.java@@ -471,46 +471,49 @@",socket,noCloseEPath,CloseInFinally,no,java.nio.channels.SocketChannel,,no,socketChannel,core/src/main/java/tachyon/client/TachyonFile.java:474,local variable
37,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/3d27edb6bcd5dd8185efeea449960b5f51c18fed,2020-02-27T23:29:55Z,2020-08-18T03:03:15Z,116,132,core/client/fs/src/main/java/alluxio/client/file/cache/store/RocksPageStore.java:get,"core/client/fs/src/main/java/alluxio/client/file/cache/store/RocksPageStore.java@@ -123,9 +121,25 @@",file,noCloseRPath,try-with,no,java.io.ByteArrayInputStream,,yes,bais,core/client/fs/src/main/java/alluxio/client/file/cache/store/RocksPageStore.java:126,local variable
38,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/10faa83f7c754a32b6aa3e6732947f3c75241fc5,2017-12-05T15:55:41Z,2018-01-16T00:10:22Z,162,167,core/server/worker/src/main/java/alluxio/worker/file/FileDataManager.java:ufsFingerprint,"core/server/worker/src/main/java/alluxio/worker/file/FileDataManager.java:@@ -162,8 +163,11 @@",file,noCloseRPath,try-with,no,,alluxio.underfs.UnderFileSystem,no,ufs,core/server/worker/src/main/java/alluxio/worker/file/FileDataManager.java:165,local variable
39,Alluxio/alluxio,https://github.com/Alluxio/alluxio/commit/3cf2e88da051f9cd115d84ef9fb7d94fae488ffd,2016-09-20T16:47:27Z,2016-10-19T20:13:17Z,96,114,core/client/src/main/java/alluxio/client/block/LocalBlockOutStream.java:close,"core/client/src/main/java/alluxio/client/block/LocalBlockOutStream.java:@@ -97,19 +97,19 @@ ",file,noCloseEPath,CloseInFinally,no,,com.google.common.io.Closer,yes,mCloser,core/client/src/main/java/alluxio/client/block/LocalBlockOutStream.java:65,instance variable
40,amitshekhariitbhu/Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database/commit/5666b9e972567ff57d52fcf739ebe447e1bcbedc,2017-04-24T03:42:46Z,2017-04-24T04:04:51Z,63,152,debug-db/src/main/java/com/amitshekhar/utils/DatabaseHelper.java:getTableData,"debug-db/src/main/java/com/amitshekhar/utils/DatabaseHelper.java@@ -72,14 +72,20 @@",socket,noCloseRPath,CloseInFinally,no,android.database.Cursor,,no,cursor,debug-db/src/main/java/com/amitshekhar/utils/DatabaseHelper.java:78,local variable
41,androidx/media,https://github.com/androidx/media/commit/c067ee8853cc80c06e7275dc3bd3eba2d8c5b2b3,2020-11-19T17:12:33Z,2021-02-23T15:06:38Z,159,213,library/core/src/main/java/com/google/android/exoplayer2/upstream/cache/CacheWriter.java:readBlockToCache,"library/core/src/main/java/com/google/android/exoplayer2/upstream/cache/CacheWriter.java:@@ -206,10 +210,16 @@ ",file,noCloseRPath,CloseOnExcep,yes,,com.google.android.exoplayer2.upstream.cache.CacheDataSource,yes,dataSource,library/core/src/main/java/com/google/android/exoplayer2/upstream/cache/CacheWriter.java:82,instance variable
42,androidx/media,https://github.com/androidx/media/commit/92a98d1ce2a27266fa69927235929f45678aac40,2016-11-10T21:14:29Z,2016-11-10T21:15:35Z,207,236,library/src/main/java/com/google/android/exoplayer2/upstream/cache/CachedContentIndex.java:writeFile,"library/src/main/java/com/google/android/exoplayer2/util/AtomicFile.java:@@ -22,192 +22,176 @@ ",file,noCloseRPath,CloseInFinally,no,java.io.DataOutputStream,,no,output,library/src/main/java/com/google/android/exoplayer2/upstream/cache/CachedContentIndex.java:211,local variable
43,AntennaPod/AntennaPod,https://github.com/AntennaPod/AntennaPod/commit/baa2d6910df989ab7239375aee77bc7a383f07b6,2015-11-01T14:02:49Z,2015-11-07T14:30:20Z,850,859,core/src/main/java/de/danoeh/antennapod/core/storage/DBReader.java:getFeedImage,"core/src/main/java/de/danoeh/antennapod/core/storage/DBReader.java@@ -849,13 +849,16 @@",socket,noCloseEPath,CloseInFinally,no,android.database.Cursor,,no,cursor,core/src/main/java/de/danoeh/antennapod/core/storage/DBReader.java:851,local variable
44,antlr/stringtemplate4,https://github.com/antlr/stringtemplate4/commit/71f844f27c386d85b446606f94aa684101272dba,2012-12-10T19:51:01Z,2012-12-10T19:56:45Z,111,145,src/org/stringtemplate/v4/STGroupDir.java:load,"src/org/stringtemplate/v4/STGroupDir.java@@ -125,6 +125,7 @@",file,noCloseEPath,CloseInFinally,no,java.io.InputStream,,no,is,src/org/stringtemplate/v4/STGroupDir.java:130,local variable
45,ant-media/Ant-Media-Server,https://github.com/ant-media/Ant-Media-Server/commit/9a6a7fac43bb4cc25d77ac3a5f13c724d21376cb,2020-05-27T19:02:26Z,2020-05-27T23:34:10Z,697,737,src/main/java/io/antmedia/AntMediaApplicationAdapter.java:sendPOST,"src/main/java/io/antmedia/AntMediaApplicationAdapter.java@@ -714,22 +714,23 @@",socket,noCloseRPath,try-with,no,,org.apache.http.client.methods.CloseableHttpResponse,no,httpResponse,src/main/java/io/antmedia/AntMediaApplicationAdapter.java:717,local variable
46,NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra/commit/299c56f5dcb4df3bf9daad9a641209af71472be1,2020-07-28T20:56:09Z,2020-07-28T20:56:09Z,789,836,Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/osgi/GhidraSourceBundle.java:buildDefaultActivator,"Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/osgi/GhidraSourceBundle.java@@ -817,22 +817,26 @@",file,noCloseRPath,try-with,no,,ghidra.app.plugin.core.osgi.StandardJavaFileManager,no,javaFileManager,Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/osgi/GhidraSourceBundle.java:820,local variable
47,AnySoftKeyboard/AnySoftKeyboard,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/4f95829aa4932d1c3981a2c9c1476af4aafcc6a7,2012-12-16T03:36:29Z,2013-02-18T03:17:48Z,83,219,src/com/anysoftkeyboard/dictionaries/ContactsDictionary.java:loadDictionaryAsync,"src/com/anysoftkeyboard/dictionaries/ContactsDictionary.java@@ -211,10 +212,12 @@",socket,noCloseEPath,CloseInFinally,no,android.database.Cursor,,no,cursor,src/com/anysoftkeyboard/dictionaries/ContactsDictionary.java:87,local variable
48,AnySoftKeyboard/AnySoftKeyboard,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/cc8c1c8fa4e34baf1e2b23b0abb3897a331f2619,2011-01-14T16:25:49Z,2011-01-14T19:55:12Z,122,194,src/com/menny/android/anysoftkeyboard/dictionary/ContactsDictionary.java:addWords,"src/com/menny/android/anysoftkeyboard/dictionary/ContactsDictionary.java@@ -136,7 +136,9 @@",socket,noCloseCPath,CloseOnRPath,yes,android.database.Cursor,,yes,cursor,src/com/menny/android/anysoftkeyboard/dictionary/ContactsDictionary.java:103,parameter
49,AnySoftKeyboard/AnySoftKeyboard,https://github.com/AnySoftKeyboard/AnySoftKeyboard/commit/79c11f6eee733b9123c825949fb61b4bad9a4075,2013-01-18T03:51:28Z,2013-01-30T20:02:06Z,325,326,src/com/anysoftkeyboard/dictionaries/AutoDictionary.java:closeAllResources,"src/com/anysoftkeyboard/dictionaries/AutoDictionary.java@@ -323,6 +323,8 @@",socket,notProClose,AoRClose,yes,android.database.sqlite.SQLiteDatabase,,yes,mOpenHelper,src/com/anysoftkeyboard/dictionaries/AutoDictionary.java:129,instance variable
50,apache/avro,https://github.com/apache/avro/commit/9ea105c793af3459c6aa492ff9898f37defd70e1,2020-05-22T21:24:34Z,2022-01-17T07:11:41Z,164,180,lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java:main,"lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java@@ -167,15 +168,13 @@",file,noCloseEPath,try-with,no,,org.apache.avro.file.DataFileWriter,no,writer,lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java:170,local variable
51,apache/avro,https://github.com/apache/avro/commit/528a1c8a997a0831e83b525173c6a70b08ee681a,2016-05-02T15:28:11Z,2017-06-16T07:18:40Z,56,63,lang/java/avro/src/main/java/org/apache/avro/data/Json.java:Json,"lang/java/avro/src/main/java/org/apache/avro/data/Json.java@@ -55,8 +56,12 @@",file,noCloseRPath,CloseInFinally,no,java.io.InputStream,,no,"Json.class.getResourceAsStream(""/org/apache/avro/data/Json.avsc"")",lang/java/avro/src/main/java/org/apache/avro/data/Json.java:59,anonymous variable
52,apache/beam,https://github.com/apache/beam/commit/f5841b960e1041d5c18bc4c899e5f539c82b865f,2020-02-18T22:23:09Z,2020-02-21T00:58:54Z,285,311,sdks/java/core/src/main/java/org/apache/beam/sdk/io/Read.java:tryClaim,"sdks/java/core/src/main/java/org/apache/beam/sdk/io/Read.java@@ -291,6 +294,11 @@ ",file,noCloseRPath,CloseInFinally,no,,org.apache.beam.sdk.io.BoundedSource,no,currentReader,sdks/java/core/src/main/java/org/apache/beam/sdk/io/Read.java:291,instance variable
