ID,projects,# of commit,UTC of create,UTC of last modify,# of stars,# of issues,# of forks,# of releases,# of Contributors,# of requests,about,commit url,UTC of buggy commit,UTC of fix commit,start line,end line,defect method,change lines,resource types,root causes,fixed approaches,patch correction,standard libraries,third-party libraries,is interprocedural,key variable name,key variable location,key variable attribute,defect file hash,fix file hash,defect file url,fix file url
11,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/3137c6f6a0f258c3b893f8c9f7f9242cde296132,2022-06-03T23:48:36Z,2022-06-06T21:43:03Z,974 ,997 ,core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:gatherDescendants,"core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:@@ -976,23 +977,26 @@ ",file,noCloseEPath,try-with,no,,CloseableIterator<? extends Inode>,no,mInodeStore.getChildren(inode.asDirectory()),core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:,local variable,593f4c5abe63419e3f06c935a3b8abd09091a3972012880f517e8ae9e8ddaf7e,94dddb61cadce7e23fd43e6bcea1467ebf840ab4f9a469a2991781a82b933c60,https://raw.githubusercontent.com/Alluxio/alluxio/66998507d9dab64e50e28c2c83511ed975aa884f/core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java,https://raw.githubusercontent.com/Alluxio/alluxio/3137c6f6a0f258c3b893f8c9f7f9242cde296132/core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java
12,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/a02b5af1a48ab309e9e1bd24721070c0e6942ccb,2018-02-16T18:04:41Z,2018-03-06T04:40:58Z,218 ,240 ,checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java:main,"checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java:@@ -221,21 +193,16 @@ ",file,noCloseEPath,try-with,no,java.io.PrintWriter,,no,reportWriter,checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java:226,local variable,ec06f93f36132f26821ea258901ee82c156facf291d651f0714f3dd29d821683,ee5b1c9bb132667dbde54ceb1a597d11888b00d48edc2f1ab3dba0e02997f95b,https://raw.githubusercontent.com/Alluxio/alluxio/82eee98ff2074e211d36e24bb963fbfe7173e7c0/checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java,https://raw.githubusercontent.com/Alluxio/alluxio/a02b5af1a48ab309e9e1bd24721070c0e6942ccb/checker/src/main/java/alluxio/checker/SparkIntegrationChecker.java
13,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/90b7e8b6f1a6df7d7002333f7dea2444ed79ab51,2014-08-18T16:18:03Z,2014-08-21T16:10:48Z,37 ,40 ,core/src/main/java/tachyon/command/TFsShell.java:main,"core/src/main/java/tachyon/command/TFsShell.java:@@ -1,5 +1,6 @@",socket,noCloseRPath,CloseInFinally,no,,tachyon.command.TFsShell,no,shell,core/src/main/java/tachyon/command/TFsShell.java:38,local variable,4be138713aa02b710f6d4e07b1da910187035a7297d7919df5306f0c3cb7a3d4,dba4fc793cf1d5d17f32aa0c29531be31dcdd6ccce017332a16e9f211d60b27b,https://raw.githubusercontent.com/Alluxio/alluxio/f5ca85ffe659f1ed802239f45e7f2be2fbfed6ea/core/src/main/java/tachyon/command/TFsShell.java,https://raw.githubusercontent.com/Alluxio/alluxio/90b7e8b6f1a6df7d7002333f7dea2444ed79ab51/core/src/main/java/tachyon/command/TFsShell.java
14,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/f5ca85ffe659f1ed802239f45e7f2be2fbfed6ea,2014-08-21T21:14:36Z,2014-08-18T16:18:03Z,49 ,75 ,core/src/main/java/tachyon/command/TFsShell.java:cat,"core/src/main/java/tachyon/command/TFsShell.java:@@ -53,24 +54,32 @@",socket,noCloseRPath,CloseInFinally,no,,tachyon.client.TachyonFS,no,tachyonClient,core/src/main/java/tachyon/command/TFsShell.java:55,local variable,8e9d878ea3b11e04d7877f763c3b408cfd3da2094970af26909ef34641595cda,4be138713aa02b710f6d4e07b1da910187035a7297d7919df5306f0c3cb7a3d4,https://raw.githubusercontent.com/Alluxio/alluxio/72ae646ca9aed34b428858f0ddf7fa2f514cb06e/core/src/main/java/tachyon/command/TFsShell.java,https://raw.githubusercontent.com/Alluxio/alluxio/f5ca85ffe659f1ed802239f45e7f2be2fbfed6ea/core/src/main/java/tachyon/command/TFsShell.java
15,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/d3f44dd576da2e77fdb7bf8a8c015c70cda17e74,2022-08-25T17:37:02Z,2022-10-19T02:04:15Z,146 ,150,core/common/src/main/java/alluxio/resource/CloseableIterator.java:size,"core/common/src/main/java/alluxio/resource/CloseableIterator.java@@ -144,8 +144,11 @@",file,noCloseEPath,CloseInFinally,no,,alluxio.resource.CloseableIterator,yes,iter,core/common/src/main/java/alluxio/resource/CloseableIterator.java:146,parameter,a0d9ca02fd307f3bcce2725a3693a258b3eb49d592a13e23cd4c74bc9f285c57,133e03ef68032025d534051708dfa36787dc6bba57567cb8fcc435672053c72f,https://raw.githubusercontent.com/Alluxio/alluxio/496e91069b449fd7999fdf03b46ab5f8785900da/core/common/src/main/java/alluxio/resource/CloseableIterator.java,https://raw.githubusercontent.com/Alluxio/alluxio/d3f44dd576da2e77fdb7bf8a8c015c70cda17e74/core/common/src/main/java/alluxio/resource/CloseableIterator.java
16,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/a71b0dd5483d9918bc352aef8f196bd561e36e8e,2021-10-02T06:46:52Z,2021-11-01T20:41:15Z,960 ,976,core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:gatherDescendants,"core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java@@ -970,7 +970,14 @@",thread,noCloseRPath,CloseOnExcep,no,,alluxio.master.file.meta.LockedInodePath,no,childPath,core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java:968,local variable,225f401f78202eadf03fe48b5424d8b3cfdd364fc16741f56dd755b8412529ff,cc9640edaf7951fd6b0f8043b0bd02d7a3ca7ef00ddf325d11f3a3c9d28445c3,https://raw.githubusercontent.com/Alluxio/alluxio/e37e709f48600ec7c91e7265aa292a57d6d1c5a6/core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java,https://raw.githubusercontent.com/Alluxio/alluxio/a71b0dd5483d9918bc352aef8f196bd561e36e8e/core/server/master/src/main/java/alluxio/master/file/meta/InodeTree.java
17,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/a71b0dd5483d9918bc352aef8f196bd561e36e8e,2020-06-12T18:46:58Z,2021-11-01T20:41:15Z,197 ,202,core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java:addLock,"core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java@@ -198,7 +198,14 @@",thread,noCloseRPath,CloseOnExcep,no,,alluxio.resource.RWLockResource,yes,lock,core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java:197,parameter,302e5eeecaa2ae0f6604494d59fe5b1a87b30278e7848d4272defc5ea4ce81a8,a247054955371e89684ecbf8bb696bb5a95e9c00054c0b5bac631b5656e85b84,https://raw.githubusercontent.com/Alluxio/alluxio/e37e709f48600ec7c91e7265aa292a57d6d1c5a6/core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java,https://raw.githubusercontent.com/Alluxio/alluxio/a71b0dd5483d9918bc352aef8f196bd561e36e8e/core/server/master/src/main/java/alluxio/master/file/meta/SimpleInodeLockList.java
18,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/fef2d38f6f27ee9fb02f035c383ef9db74f7fcc8,2020-12-18T20:49:47Z,2021-08-11T19:33:11Z,136 ,148,core/server/common/src/main/java/alluxio/master/AbstractMaster.java:createJournalContext,"core/server/common/src/main/java/alluxio/master/AbstractMaster.java@@ -144,7 +144,12 @@",file,noCloseRPath,CloseOnExcep,no,,alluxio.resource.LockResource,no,sharedLockResource,core/server/common/src/main/java/alluxio/master/AbstractMaster.java:141,local variable,43f7a0a3398e6f288a789dffdfc127b8aa76d28bae400a44222b08ba65b61eae,84875582742b934298601879a8da338bd0137712e9f48946b2ab2dcf35a464b4,https://raw.githubusercontent.com/Alluxio/alluxio/d5abfd0b4532ddedca9ecb31fe7a89016e063c5e/core/server/common/src/main/java/alluxio/master/AbstractMaster.java,https://raw.githubusercontent.com/Alluxio/alluxio/fef2d38f6f27ee9fb02f035c383ef9db74f7fcc8/core/server/common/src/main/java/alluxio/master/AbstractMaster.java
19,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/e1f931fcbcc540c233c2c98d67228eaa0d22c727,2020-11-11T01:00:44Z,2021-06-28T17:15:43Z,57 ,74,core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java:parse,"core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java@@ -67,8 +67,11 @@",file,noCloseRPath,CloseOnExcep,no,,io.grpc.internal.ReadableBuffer,no,rawBuffer,core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java:58,local variable,83224c74297a3765b44844d7b648912e4a011040edbbdbb0a78d96d3d8049266,3be7ea77b5454d15df7f871f4d2ddcdd893eca66e14708cd928934eb1bff0509,https://raw.githubusercontent.com/Alluxio/alluxio/1d0c0890e70a1a7835cd03b081acc506557f9bce/core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java,https://raw.githubusercontent.com/Alluxio/alluxio/e1f931fcbcc540c233c2c98d67228eaa0d22c727/core/common/src/main/java/alluxio/grpc/DataMessageMarshaller.java
20,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/8511921bf6511d6a1249c0aa0d1c60f2784d15c9,2019-11-26T06:52:39Z,2020-02-21T20:29:09Z,88,104,core/server/common/src/main/java/alluxio/master/MasterProcess.java:configureAddress,"core/server/common/src/main/java/alluxio/master/MasterProcess.java@@ -93,11 +93,9 @@",socket,noCloseEPath,try-with,no,java.net.ServerSocket,,no,s,core/server/common/src/main/java/alluxio/master/MasterProcess.java:97,local variable,7ef87167ae7d44adca82aa140d6577fbe5ba2ba0de7919c825de34521b2cf735,c5d756a8beac233631eac44ebed0b60e0e544ba6af4e716ad9c0064b8f435362,https://raw.githubusercontent.com/Alluxio/alluxio/d7efd4960b1e50479262429aa03b91e749c1732c/core/server/common/src/main/java/alluxio/master/MasterProcess.java,https://raw.githubusercontent.com/Alluxio/alluxio/8511921bf6511d6a1249c0aa0d1c60f2784d15c9/core/server/common/src/main/java/alluxio/master/MasterProcess.java
21,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/7dca7ae603058268ef629fda2c4ff8cad2ae82d9,2020-02-06T19:19:52Z,2020-02-18T23:28:21Z,121 ,175 ,job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java:runTask,"job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java@@ -174,38 +172,35 @@",file,noCloseRPath,try-with,no,,alluxio.job.plan.transform.format.TableReader,no,TableReader.create(new AlluxioURI(input),job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java:190,anonymous variable,0709198994fa450f65cf5132d70f7429dddd77ebb340e2f8a1f091ca15a2899e,efd0c5af7ef2d3f8a4b7e5bb3289adc99a69581e2bbe3bf0bfb430f738672441,https://raw.githubusercontent.com/Alluxio/alluxio/a305fdb1446e315b8692d42ba671beaf47fac26f/job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java,https://raw.githubusercontent.com/Alluxio/alluxio/7dca7ae603058268ef629fda2c4ff8cad2ae82d9/job/server/src/main/java/alluxio/job/plan/transform/CompactDefinition.java
22,Alluxio/alluxio,34034,2012-12-21T17:43:46Z,2023-06-21T20:17:28Z,6274,857,2844,60,353,313,"Alluxio, data orchestration for analytics and machine learning in the cloud",https://github.com/Alluxio/alluxio/commit/77038ab8d8b7f0fc50be29f1a27eeb748c66aa80,2018-06-27T06:23:17Z,2018-07-21T15:53:34Z,234,285,core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java:backup,"core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java@@ -256,20 +256,15 @@",file,noCloseEPath,try-with,no,java.io.OutputStream,,no,ufsStream,core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java:259,local variable,708a40f2a5d3dc7fd4acc6bed2f7e9e22cb85f122bb6df692b5c297308cd7115,1dcf1c645e278a1519d286bd5f6ee838a6796b6505df841d1dde1a5f79d93f4d,https://raw.githubusercontent.com/Alluxio/alluxio/1f6a99377ca00873b2d5a7ccedb544e76e4e974b/core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java,https://raw.githubusercontent.com/Alluxio/alluxio/77038ab8d8b7f0fc50be29f1a27eeb748c66aa80/core/server/master/src/main/java/alluxio/master/meta/DefaultMetaMaster.java
